Epoch,Total Reward
27.0,512.606397107227
25.0,505.9160852350139
23.0,499.4363320189901
20.0,495.76767117885066
28.0,495.629000086497
31.0,493.2766750764696
26.0,491.16860201630186
29.0,488.75645170090087
30.0,480.293840913369
21.0,477.07595448500086
22.0,471.2615055080343
24.0,469.7690521137582
19.0,467.94462853136014
32.0,465.4362744923414
18.0,464.1815463256336
14.0,446.1243169537999
15.0,443.7131494955792
13.0,430.5492945597883
11.0,421.2076311541593
16.0,420.7419401961329
12.0,420.341458895776
17.0,415.7341454024781
9.0,376.305468253541
7.0,358.5038992937704
8.0,355.031022071748
10.0,352.87332950522006
5.0,300.96245413012406
6.0,299.3555253228756
4.0,298.9993611387684
3.0,256.84722153342574
2.0,177.4708876744812
1.0,40.48640664787143
